Model,AUC_mean,AUC_std,F1_mean,F1_std,BalAcc_mean,PR_AUC_mean
RandomForest,0.6728838581509574,0.19390103658652796,0.679098785161243,0.14348966735612356,0.6171837987536615,0.6847925974703617
GradientBoosting,0.6605539316518303,0.1955851615677836,0.5982642508194365,0.2793555360464411,0.6131746550215985,0.6778567987967098
LogisticReg_Lasso,0.6407107965306625,0.14928681542881025,0.6245952966156951,0.2581900699899288,0.5847212350468168,0.6561421318497997
