K_genera,Label,AUC_mean,AUC_std,F1_mean,BalAcc
5,Top-5,0.5708621299992773,0.07567092700024224,0.5743307236893956,0.5387830663513218
10,Top-10,0.5848329146081525,0.130790081228894,0.6021681648711086,0.5506780634581382
15,Top-15,0.6854587473326728,0.16573360586829228,0.6678353658536585,0.6336350514441047
20,Top-20,0.681353398177758,0.15160472112009651,0.7035318524062367,0.6494905902073421
30,Top-30,0.6783235741427371,0.1689320947956707,0.6604579145424216,0.5896610404148298
50,Top-50,0.6723893844838562,0.16394233652686407,0.6767630664838752,0.6312703027443888
71,All,0.6550925263340517,0.2053401105457033,0.648032145600322,0.5980978577248985
