SampleID,Dataset,DiseaseState,Acetanaerobacterium,Acidaminococcus,Actinomyces,Akkermansia,Alistipes,Allisonella,Anaerofilum,Anaerosporobacter,Anaerostipes,Anaerotruncus,Anaerovorax,Bacteroides,Barnesiella,Bifidobacterium,Blautia,Butyricicoccus,Butyricimonas,Catenibacterium,Clostridium_III,Clostridium_IV,Clostridium_XI,Clostridium_XVIII,Clostridium_XlVa,Clostridium_XlVb,Clostridium_sensu_stricto,Collinsella,Coprobacillus,Coprococcus,Desulfovibrio,Dialister,Dorea,Eggerthella,Enterobacter,Erysipelotrichaceae_incertae_sedis,Escherichia/Shigella,Eubacterium,Faecalibacterium,Flavonifractor,Gemmiger,Gordonibacter,Haemophilus,Hespellia,Holdemania,Howardella,Lachnobacterium,Lachnospira,Lachnospiracea_incertae_sedis,Lactobacillus,Lactococcus,Megasphaera,Methanobrevibacter,Mogibacterium,Odoribacter,Oscillibacter,Parabacteroides,Paraprevotella,Parasutterella,Phascolarctobacterium,Porphyromonas,Prevotella,Pseudoflavonifractor,Roseburia,Ruminococcus,Ruminococcus2,Sporobacter,Streptococcus,Subdoligranulum,Sutterella,Turicibacter,Veillonella,Victivallis
p73s1,ob_zupancic,OB,0,0,0,2,0,11,0,0,14,2,4,25,0,0,66,14,0,0,0,40,69,0,3,10,25,26,0,89,3,179,21,5,0,401,0,0,391,8,0,0,0,0,0,990,0,18,185,14,0,0,0,0,0,135,38,3,3,0,0,425,6,38,80,77,2,0,31,1,4,0,0
p135s1,ob_zupancic,OB,0,0,0,0,0,38,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,9,0,0,3,0,8,0,0,0,2,0,0,126,0,0,0,0,0,0,19,0,6,8,0,0,0,0,0,0,5,1,76,0,0,0,2647,0,126,8,3,12,0,3,0,0,0,0
347,ob_zupancic,H,0,0,0,1,3,0,0,0,65,7,3,763,3,0,73,13,0,0,0,5,33,22,9,3,18,21,5,173,2,0,40,0,0,249,0,0,1530,16,0,0,0,0,0,4,0,110,75,14,0,0,0,0,3,62,6,0,0,0,0,1428,1,211,266,205,0,28,16,0,20,0,0
p139s1,ob_zupancic,OB,0,0,0,0,1,2,0,0,10,4,0,132,0,0,58,9,0,0,0,18,25,0,2,0,7,0,0,51,30,0,20,0,0,223,0,0,531,0,0,0,0,0,0,35,0,34,23,0,0,0,0,0,0,173,7,0,0,8,0,91,6,195,79,73,0,0,42,30,0,0,0
p26s1,ob_zupancic,OB,0,0,0,0,1,0,0,0,0,4,2,494,0,0,49,4,9,1,0,0,2,0,4,0,6,2,0,33,0,0,7,14,0,2011,0,0,145,0,0,0,0,0,0,19,0,10,133,0,0,0,0,0,1,6,8,8,0,0,0,284,1,104,1,156,0,5,117,3,0,0,0
p23s1,ob_zupancic,OB,6,0,3,0,0,0,0,0,0,9,2,46,0,0,0,0,0,54,0,0,9,0,1,0,0,0,0,0,0,0,3,0,0,8,0,0,15,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,62,16,0,0,0,0,11,0,0,8,14,0,0,0,0,0,0,0
168,ob_zupancic,OB,0,0,0,0,0,0,0,0,0,0,0,87,0,0,17,0,0,0,0,0,17,0,0,0,1,3,0,5,0,0,12,0,0,886,0,0,83,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,9,11,0,0,0,0,304,0,20,4,58,0,2,8,0,2,0,0
p156s1,ob_zupancic,OB,0,0,0,0,0,4,0,0,0,2,0,11,0,0,10,0,0,59,0,4,1,0,0,0,0,0,0,17,0,31,26,0,13,93,0,0,232,2,0,0,0,0,0,18,0,24,32,0,0,0,0,0,0,19,5,34,0,0,0,1598,0,231,10,6,0,0,5,0,0,0,0
p0s2,ob_zupancic,OB,0,0,0,0,2,1,0,0,22,2,3,377,0,0,194,4,0,328,0,5,120,0,0,2,18,65,0,27,4,20,53,3,0,71,0,0,1438,9,0,0,0,0,0,2,0,49,39,14,0,0,0,0,0,24,5,2,0,0,0,1274,15,619,1,160,0,152,55,10,7,0,0
p132s1,ob_zupancic,OB,0,0,0,0,0,0,0,0,0,5,0,202,0,0,3,0,0,38,0,0,9,4,1,0,22,1,0,97,0,0,14,1,0,132,0,0,81,2,0,0,0,0,0,0,0,0,54,2,0,0,0,0,0,24,6,0,0,0,0,40,0,0,12,6,1,5,6,0,0,0,0
11,ob_zupancic,OB,0,0,0,0,1,0,0,0,7,1,2,138,0,0,57,6,0,238,0,0,15,0,1,5,25,4,0,49,1,0,28,1,0,307,0,0,673,6,0,0,0,0,0,6,0,108,67,0,0,0,0,0,0,49,3,12,0,0,0,2146,5,206,183,99,9,9,21,1,2,0,0
12,ob_zupancic,OB,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,4,0,207,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,42,18,0,0,0,0,0,0,4,0,0,0,0,0,1640,0,20,0,8,4,0,0,0,0,0,0
p68s2,ob_zupancic,OB,0,0,0,0,0,0,0,0,1,0,0,2857,0,0,22,0,0,1,0,0,3,0,263,0,0,0,0,3,0,25,19,0,0,0,0,3,2,4,0,0,0,0,0,0,0,27,60,0,0,0,0,0,0,0,4,0,0,0,0,0,0,209,0,43,0,2,0,0,0,0,0
14,ob_zupancic,OB,0,0,0,0,1,0,0,0,3,0,2,158,0,0,39,5,2,0,0,1,58,0,7,0,7,0,0,108,0,0,19,0,0,106,0,0,198,0,0,0,0,0,1,1,0,45,40,0,0,0,0,0,0,3,1,3,0,0,0,1594,1,82,158,84,0,0,9,0,1,0,0
p103s1,ob_zupancic,OB,0,0,0,0,0,0,0,0,1,0,0,77,0,0,13,5,0,17,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,24,2,0,0,0,0,0,0,2,0,2,0,0,0,1057,0,25,0,5,0,0,7,4,0,0,0
271,ob_zupancic,OB,0,0,0,0,1,0,0,0,2,3,0,150,0,0,29,1,3,22,0,1,59,0,7,0,48,16,0,37,0,0,5,14,0,5,0,0,321,4,0,0,0,0,0,0,0,30,38,0,0,0,0,0,1,19,10,8,0,0,0,4112,5,164,9,41,0,1,8,9,65,0,0
18,ob_zupancic,H,0,0,0,0,0,0,0,0,0,2,2,42,0,0,19,0,0,21,0,0,37,0,1,0,46,0,0,11,0,0,28,0,0,99,0,0,415,0,0,0,0,0,0,0,0,2,72,0,0,0,0,0,0,72,1,0,0,0,0,568,1,84,9,47,0,0,4,5,0,0,0
p82s1,ob_zupancic,H,0,0,0,0,5,9,0,0,0,2,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,2,53,0,0,0,34,0,0,67,0,0,0,0,0,0,63,0,8,20,2,0,0,0,0,0,10,43,0,0,0,0,3095,0,7,4,2,0,0,0,0,6,0,0
p90s1,ob_zupancic,H,0,0,0,0,43,47,0,0,28,10,0,119,28,0,76,8,0,77,0,6,121,0,8,2,37,44,0,25,0,3,12,0,0,0,0,0,755,7,0,0,0,0,0,0,0,32,112,4,0,0,0,0,0,88,31,52,0,0,0,844,1,79,76,115,14,5,44,1,1,0,0
p90s2,ob_zupancic,H,0,0,0,0,0,10,0,0,0,2,0,32,0,0,9,0,0,9,0,0,2,0,2,0,21,0,0,11,0,2,58,0,0,30,0,0,692,13,0,0,0,0,3,0,0,73,111,6,0,0,0,0,35,72,6,13,0,0,0,180,4,24,27,216,0,8,0,1,2,0,0
p86s2,ob_zupancic,H,0,0,0,0,1,0,0,0,25,0,2,102,0,0,92,6,0,0,0,0,37,29,4,2,90,6,2,105,0,1,11,2,0,245,0,0,775,1,0,0,0,0,0,17,0,153,97,0,0,0,0,0,0,11,29,0,0,1,0,1818,0,280,41,181,0,63,28,6,4,0,0
p43s1,ob_zupancic,OB,0,0,0,0,0,0,0,0,0,2691,7,8,0,0,24,0,0,1445,0,0,42,0,8,0,7,44,0,43,0,295,196,0,0,461,0,0,557,0,0,0,0,0,0,0,0,11,195,0,0,0,0,0,0,15,2,0,0,0,0,662,0,75,2,231,0,0,13,20,0,0,0
p161s1,ob_zupancic,OB,0,6,0,0,2,0,2,0,4,43,8,42,2,0,109,2,0,1,0,3,282,0,0,0,13,0,0,475,5,0,53,0,0,205,0,0,459,23,0,0,0,0,4,0,0,187,319,0,0,0,0,0,9,26,20,5,0,0,0,204,23,127,111,371,0,228,217,0,19,0,0
287,ob_zupancic,H,0,0,0,0,0,7,0,0,2,10,2,734,0,0,286,4,0,40,0,19,18,0,17,5,17,2,0,163,2,0,32,0,0,519,0,0,472,32,0,0,0,0,0,11,0,110,141,0,0,0,0,0,0,74,24,1,0,0,0,1345,17,151,316,134,0,7,2,3,2,0,0
p41s1,ob_zupancic,H,0,0,0,3,21,0,0,0,21,162,5,251,11,0,30,3,4,0,0,2,35,4,0,0,22,0,0,13,0,0,1,2,0,0,0,0,106,7,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,132,14,1,0,0,0,19,0,22,7,26,0,1,26,2,0,0,0
p48s1,ob_zupancic,OB,0,9,0,0,1,0,0,0,0,0,1,860,0,0,68,2,1,0,0,9,41,0,37,0,12,63,0,130,14,32,21,1,0,54,0,0,819,5,0,0,0,0,0,0,0,15,66,0,1,7,0,0,13,81,65,8,0,0,0,3809,2,80,68,332,0,0,15,4,8,0,0
p48s2,ob_zupancic,OB,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,0,0,0,0,2,239,0,2,0,54,2,0,3,0,35,2,0,0,21,0,0,42,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,103,29,35,0,0,0,2780,7,23,4,2,2,0,2,0,0,0,0
p18s1,ob_zupancic,H,0,0,0,0,5,1,0,0,0,0,2,388,40,0,86,0,0,8,0,0,0,0,4,0,0,33,0,8,4,0,173,0,0,129,0,0,429,1,0,0,0,0,0,14,0,16,15,0,0,0,0,0,9,73,24,0,0,0,0,580,0,38,96,48,0,0,42,0,0,0,0
349,ob_zupancic,H,0,0,0,0,0,0,0,0,2,4,5,364,0,0,41,2,0,29,0,12,0,14,2,4,33,0,0,3,0,0,58,0,0,21,0,0,168,6,0,0,0,0,4,0,0,98,87,0,0,0,0,0,0,49,5,2,0,0,0,137,6,21,150,256,0,10,0,5,0,0,0
p113s1,ob_zupancic,OB,0,0,0,14,0,10,0,0,12,102,1,181,0,0,44,3,0,1,0,10,264,0,0,0,8,38,0,22,0,2,7,0,0,0,0,0,321,10,0,0,0,0,0,2,0,63,40,0,0,0,0,0,2,761,32,2,0,0,0,163,2,19,174,57,13,3,72,0,12,0,0
150,ob_zupancic,H,0,0,0,0,7,0,0,0,9,14,0,237,0,0,32,3,0,0,0,60,78,2,0,0,8,0,0,25,5,0,23,0,0,512,0,0,464,5,0,0,0,0,0,20,0,112,78,32,2,0,0,0,1,85,15,0,0,0,0,744,6,31,72,82,0,13,19,2,8,0,0
p63s1,ob_zupancic,H,5,0,0,0,0,0,0,0,23,11,54,40,0,0,64,0,0,1515,0,13,63,0,0,0,22,11,0,11,15,0,90,0,0,167,0,0,64,2,0,0,0,0,0,3,0,144,58,0,0,0,0,0,0,101,491,0,0,0,0,47,1,33,56,171,0,2,90,0,0,0,0
p108s1,ob_zupancic,H,0,0,0,0,0,2,0,0,0,0,0,446,3,0,7,0,0,0,0,8,19,0,0,0,1,2,0,6,0,53,9,0,0,127,0,0,216,0,0,0,0,0,0,1,0,1,32,0,0,0,0,0,0,5,46,0,0,2,0,1030,0,55,0,4,0,0,1,4,0,0,0
p14s1,ob_zupancic,OB,0,0,0,0,31,1,0,0,19,35,0,680,0,0,53,5,6,0,0,60,50,0,2,0,5,0,0,23,0,0,14,2,0,0,0,0,1391,4,0,0,0,0,0,23,0,81,69,0,0,0,0,0,8,92,25,0,0,52,0,64,2,170,33,113,14,0,128,0,5,0,0
395,ob_zupancic,H,3,0,0,0,1,0,0,0,2,8,0,390,1,0,97,3,0,331,0,27,83,2,7,2,65,15,0,104,8,147,19,1,0,1187,0,0,535,14,0,0,0,0,0,8,0,76,64,4,0,0,0,0,2,66,14,6,3,0,0,144,4,87,139,157,0,3,20,2,6,0,0
