Metric,H_mean,H_median,OB_mean,OB_median,OW_mean,OW_median,MannWhitney_U_HvsOB,p_value_HvsOB,significance_HvsOB,effect_size_r_HvsOB,p_value_HvsOW,p_value_OBvsOW,Kruskal_H,Kruskal_p
Shannon,2.313968989199328,2.412439131266325,2.164342501238809,2.237487152114289,2.439265856487217,2.5371554890207237,219445.0,2.632482981396475e-10,***,-0.21069095643730407,5.965858127795478e-05,4.8723776083057914e-21,92.88857233682484,6.753094096078586e-21
Chao1,46.55331124014023,48.29166666666667,41.343655789653994,40.0,52.00435046539862,51.166666666666664,227029.0,3.617984941050042e-14,***,-0.25253232996424946,8.812763605009387e-10,1.4283206541935063e-35,158.87911048223907,3.1611093106563504e-35
